CLAY,SILT,SAND,ph,ec,orp,tvwc,tmp,vwc,a,b
9.51,61.32,29.17,8.38,1.132,93,0.357,-0.7165,0.077126104,0.12,0.256
10.465,58.495,31.04,8.05,1.432,133,0.408,-0.7555,0.085676455,0.13,0.2
11.555,54.42,34.025,8.07,1.54,123,0.397,-0.4,0.125081192,0.165,0.23
11.055,43.17,45.775,8.61,0.828,203,0.262,-1.147,0.09198225,0.13,0.15
7.89,36.33,55.78,8.76,0.746,222,0.252,-0.324,0.101311111,0.125,0.17
12.73,44.775,42.495,8.8,0.769,202,0.241,-0.39025,0.135208175,0.155,0.14
7.13,36.335,56.535,7.96,1.54,159,0.255,-0.788166667,0.064067903,0.09,0.215
11.6,39.965,48.435,8.56,1.158,205,0.192,-0.638166667,0.099658693,0.12,0.155
10.425,48.44,41.135,8.55,1.355,171,0.226,-1.0995,0.076422669,0.105,0.195
1.545,8.345,90.11,8.73,0.719,170,0.033,-0.370166667,0.059958028,0.08,0.24
2.4,12.565,85.035,9.16,0.679,157,0.079,-0.3475,0.110119606,0.135,0.175
1.72,7.865,90.415,9.02,1.011,158,0.064,-0.271833334,0.113114557,0.135,0.18
