"","TIMESTAMP","VWC_40cm_Avg","VWC_80cm_Avg","VWC_120cm_Avg","VWC_160cm_Avg","ST_40cm_Avg","ST_80cm_Avg","ST_120cm_Avg","ST_160cm_Avg"
"1","2014-10-04 11:00:00","0.075","0.053","0.074","0.063","4.621","4.985","4.79","4.462"
"2","2014-10-04 11:30:00","0.075","0.053","0.074","0.063","4.589","4.97","4.778","4.451"
"3","2014-10-04 12:00:00","0.075","0.053","0.074","0.063","4.556","4.953","4.773","4.446"
"4","2014-10-04 12:30:00","0.075","0.053","0.074","0.063","4.526","4.944","4.769","4.442"
"5","2014-10-04 13:00:00","0.075","0.053","0.074","0.063","4.494","4.939","4.764","4.437"
"6","2014-10-04 13:30:00","0.075","0.053","0.074","0.063","4.459","4.931","4.748","4.43"
"7","2014-10-04 14:00:00","0.075","0.053","0.074","0.063","4.426","4.915","4.736","4.424"
"8","2014-10-04 14:30:00","0.075","0.053","0.074","0.063","4.392","4.902","4.728","4.407"
"9","2014-10-04 15:00:00","0.075","0.053","0.074","0.063","4.363","4.896","4.719","4.401"
"10","2014-10-04 15:30:00","0.075","0.053","0.074","0.063","4.338","4.88","4.706","4.4"
"11","2014-10-04 16:00:00","0.075","0.053","0.074","0.063","4.313","4.879","4.705","4.399"
"12","2014-10-04 16:30:00","0.075","0.053","0.074","0.063","4.294","4.867","4.699","4.39"
"13","2014-10-04 17:00:00","0.075","0.053","0.074","0.063","4.285","4.858","4.688","4.384"
"14","2014-10-04 17:30:00","0.075","0.053","0.074","0.063","4.266","4.845","4.68","4.375"
"15","2014-10-04 18:00:00","0.075","0.053","0.074","0.063","4.266","4.83","4.672","4.372"
"16","2014-10-04 18:30:00","0.075","0.053","0.074","0.063","4.283","4.824","4.656","4.366"
"17","2014-10-04 19:00:00","0.075","0.053","0.074","0.063","4.295","4.811","4.658","4.353"
"18","2014-10-04 19:30:00","0.075","0.053","0.074","0.063","4.315","4.8","4.648","4.356"
"19","2014-10-04 20:00:00","0.075","0.053","0.074","0.063","4.339","4.79","4.64","4.35"
"20","2014-10-04 20:30:00","0.075","0.053","0.074","0.063","4.368","4.78","4.627","4.343"
"21","2014-10-04 21:00:00","0.075","0.053","0.074","0.063","4.405","4.77","4.63","4.343"
"22","2014-10-04 21:30:00","0.075","0.053","0.074","0.063","4.436","4.761","4.618","4.332"
"23","2014-10-04 22:00:00","0.075","0.053","0.074","0.063","4.469","4.75","4.611","4.333"
"24","2014-10-04 22:30:00","0.075","0.053","0.074","0.063","4.502","4.733","4.601","4.32"
"25","2014-10-04 23:00:00","0.075","0.053","0.074","0.063","4.53","4.729","4.596","4.32"
"26","2014-10-04 23:30:00","0.075","0.053","0.074","0.063","4.561","4.718","4.587","4.311"
"27","2014-10-05 00:00:00","0.075","0.053","0.074","0.063","4.585","4.709","4.585","4.308"
"28","2014-10-05 00:30:00","0.075","0.053","0.074","0.064","4.606","4.702","4.571","4.309"
"29","2014-10-05 01:00:00","0.075","0.053","0.074","0.063","4.619","4.691","4.575","4.305"
"30","2014-10-05 01:30:00","0.075","0.053","0.074","0.063","4.628","4.687","4.566","4.297"
"31","2014-10-05 02:00:00","0.075","0.053","0.074","0.064","4.641","4.67","4.556","4.294"
"32","2014-10-05 02:30:00","0.075","0.053","0.073","0.064","4.639","4.667","4.551","4.291"
"33","2014-10-05 03:00:00","0.075","0.053","0.073","0.063","4.63","4.664","4.54","4.281"
"34","2014-10-05 03:30:00","0.075","0.053","0.074","0.063","4.628","4.652","4.54","4.279"
"35","2014-10-05 04:00:00","0.075","0.053","0.074","0.064","4.614","4.649","4.526","4.278"
"36","2014-10-05 04:30:00","0.075","0.053","0.074","0.064","4.601","4.635","4.522","4.271"
