v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,t
1,1,1,3,1,1,3,3,13,13,13,14,13,13,18,18,13,13,12,96
3,2,2,2,2,2,3,2,78,48,47,50,47,48,83,52,57,38,38,166
2,2,2,2,2,2,2,2,15,14,14,18,14,14,23,22,29,28,27,13
52,49,48,64,48,49,91,88,328,297,288,419,288,297,530,493,287,278,274,1002
0,0,0,0,0,0,0,0,20,6,6,6,6,6,26,7,3,2,2,10
0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4
5,5,5,6,5,5,6,6,65,60,60,64,60,60,74,69,66,64,64,140
0,0,0,0,0,0,0,0,5,5,5,5,5,5,6,6,2,2,2,14
4,4,4,4,4,4,4,4,15,14,14,14,14,14,16,15,12,12,11,32
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,8,8,8,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,3,1,1,1,1,1,3,1,0,0,0,6
3,3,2,2,2,3,3,3,24,23,23,24,23,23,26,25,33,29,29,44
2,2,2,2,2,2,2,2,21,21,21,24,21,21,28,28,17,17,17,47
2,2,2,2,2,2,2,2,22,21,21,22,21,21,23,22,16,16,16,54
1,1,1,1,1,1,1,1,15,15,14,17,14,15,18,18,16,16,15,20
1,1,1,1,1,1,1,1,5,5,5,6,5,5,10,10,3,3,3,12
2,2,2,3,2,2,3,3,28,28,28,35,28,28,38,38,36,35,34,101
10,10,10,9,10,10,12,12,54,54,52,59,52,54,71,71,82,81,81,173
0,0,0,1,0,0,2,2,30,30,30,36,30,30,42,42,30,29,29,32
4,4,4,4,4,4,4,4,24,24,24,24,24,24,29,29,30,30,30,42
6,6,6,9,6,6,11,11,81,78,70,93,70,78,136,129,32,31,31,130
3,3,3,3,3,3,3,3,12,12,12,14,12,12,17,16,6,5,5,11
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
9,9,9,8,9,9,8,8,53,52,52,55,52,52,61,59,8,8,8,122
0,0,0,0,0,0,0,0,5,3,3,3,3,3,5,3,1,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
4,4,4,3,4,4,4,4,31,31,29,35,29,31,43,43,34,34,34,82
1,1,1,2,1,1,2,2,4,4,4,4,4,4,5,5,0,0,0,11
1,1,1,2,1,1,3,3,25,25,25,34,25,25,37,37,34,31,31,16
0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,9,8,8,9,9,53,53,52,55,52,53,67,67,67,64,64,104
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
3,3,3,3,3,3,5,5,27,27,27,36,27,27,43,42,44,41,41,51
0,0,0,1,0,0,1,1,4,4,4,7,4,4,7,7,8,8,8,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,7
12,12,11,12,11,12,16,16,69,65,64,69,64,65,81,77,26,26,26,113
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,2,2,1
0,0,0,0,0,0,0,0,10,10,9,9,9,10,10,10,20,20,19,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3,3,3,3,3,3,3,3,39,27,27,29,27,27,44,32,44,41,41,30
0,0,0,0,0,0,0,0,7,7,7,9,7,7,14,14,5,5,5,26
3,3,3,3,3,3,3,3,25,25,25,27,25,25,30,30,30,28,28,30
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
5,5,5,6,5,5,6,6,26,24,23,28,23,24,38,36,51,39,39,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,3,1,1,11,11,1,1,1,1
14,14,14,22,14,14,31,31,34,34,33,38,33,34,41,41,4,4,4,65
2,2,2,3,2,2,4,4,21,21,21,20,21,21,21,21,29,29,27,25
3,3,3,3,3,3,3,3,5,5,5,9,5,5,9,9,11,11,11,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,3
2,2,2,2,2,2,2,2,17,14,14,14,14,14,19,15,12,12,11,23
0,0,0,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,12
0,0,0,0,0,0,0,0,10,10,10,13,10,10,16,15,4,4,4,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19
17,17,17,18,17,17,18,18,120,117,116,124,116,117,140,133,121,118,117,197
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,7,7,8
3,3,3,3,3,3,5,5,25,24,24,26,24,24,27,26,20,20,20,51
26,25,25,31,25,25,36,34,216,205,204,222,204,205,358,247,288,274,267,415
1,1,1,1,1,1,1,1,2,2,2,3,2,2,3,3,3,3,3,3
1,1,1,1,1,1,1,1,6,6,6,8,6,6,9,9,19,19,19,11
0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,1,1,1,0
41,39,39,45,39,39,53,51,231,229,227,258,227,229,282,280,251,250,250,722
18,18,18,21,18,18,24,24,116,113,112,131,112,113,163,160,186,180,179,319
0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,5,5,5,9
2,2,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4
1,1,1,1,1,1,1,1,6,6,6,7,6,6,8,8,10,10,10,23
2,2,2,2,2,2,2,2,9,9,9,14,9,9,43,15,21,15,15,47
2,2,2,2,2,2,3,3,6,6,6,7,6,6,8,8,5,5,5,4
78,75,74,88,74,75,114,109,742,730,718,857,718,730,1025,1009,480,461,454,1033
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5
8,8,8,8,8,8,11,11,40,40,40,43,40,40,46,46,30,29,29,81
1,1,1,1,1,1,1,1,12,12,12,14,12,12,14,14,6,6,6,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,5,5,23,23,23,22,23,23,25,24,23,22,22,29
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2
1,1,1,1,1,1,1,1,12,12,12,13,12,12,13,13,13,13,13,13
38,38,38,49,38,38,61,58,347,344,343,444,343,344,494,489,320,317,315,466
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
2,2,2,1,2,2,1,1,4,4,4,9,4,4,12,12,9,9,9,51
20,20,20,28,20,20,31,31,82,80,79,329,255,259,400,388,102,100,100,242
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,5,5,6
11,11,11,14,11,11,14,14,117,115,113,132,113,115,162,159,125,122,122,255
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
